"VideoAnalysis: Time (s)","VideoAnalysis: X","VideoAnalysis: Y","VideoAnalysis: X Velocity","VideoAnalysis: Y Velocity"
0.633966666667,1,0.80078125,124.981861685,32.8681876413
0.667333333333,5.16796875,2.08984375,124.012058888,26.8644736269
6.47313333333,737.5,159.734375,120.859289761,26.0975223975
6.5065,722.65625,158.609375,-154.924194228,-37.7396592022
6.53986666667,709.15234375,153.09375,-371.945617232,-137.426186767
6.57323333333,694.22265625,146.88671875,-648.905131327,-233.204295704
6.6066,666.83203125,138.51171875,-855.33607018,-317.693374334
6.63996666667,635.40234375,124.2734375,-1027.92064706,-364.866253538
6.67333333333,600.6796875,113.85546875,-1255.5836091,-399.323983308
6.7067,550.02734375,98.23046875,-1443.33856248,-443.033528971
6.74006666667,502.37109375,82.69140625,-1581.37110286,-442.435168998
6.77343333333,447.7734375,69.06640625,-1787.88984453,-444.409106518
6.8068,380.7578125,52.4375,-1928.42639132,-419.069862429
6.84016666667,315.91015625,39.55078125,-1980.60077943,-348.960934898
6.87353333333,249.9375,28.35546875,-2051.17798868,-257.148450508
6.9069,177.671875,23.4921875,-2082.07482622,-193.371082043
6.94026666667,110.9609375,16.98046875,-2113.71961372,-167.670870796
6.97363333333,37.43359375,11.078125,-2157.39338786,-109.880354021
7.007,-34.01171875,7.953125,-2165.46149163,-7.58356227106
7.04036666667,-109.09765625,11.078125,-2114.03180153,86.1931037712
7.07373333333,-176.4609375,14.85546875,-2012.71059669,154.4906916
7.1071,-242.43359375,20.7578125,-1930.70926469,232.521384865
7.14046666667,-306.76953125,29.35546875,-1814.10386489,329.758132493
7.17383333333,-361.9375,45.328125,-1733.90411672,359.575320513
7.2072,-421.8828125,54.0078125,-1657.67500728,360.778544372
7.24056666667,-476.3984375,68.59375,-1486.00423014,376.004204129
7.27393333333,-521.3125,81.3984375,-1301.22481685,333.549913628
7.3073,-559.85546875,88.60546875,-1177.77404887,350.024324634
7.34066666667,-603.13671875,104.6640625,-883.41183556,329.80528586
7.37403333333,-630.09375,113.9140625,-368.221622128,220.498576944
7.4074,-639.12109375,129.10546875,12.3049151369,2.26352423618
7.64096666667,-627.56640625,119.12109375,187.058221726,-96.2985582126
7.67433333333,-595.703125,97.94140625,696.759295392,-312.975761218
7.7077,-559.5078125,86.74609375,1061.42392763,-308.625293977
7.74106666667,-518.53515625,78.7578125,1327.36729416,-330.525594197
7.77443333333,-470.66015625,65.60546875,1476.65485556,-350.515370047
7.8078,-419.6171875,54.0625,1611.60454129,-344.424455753
7.84116666667,-361.01953125,43.99609375,1704.41537629,-362.22566496
7.87453333333,-307.671875,27.41015625,1846.1128715,-307.33914523
7.9079,-243.00390625,21.55078125,2108.09047723,-200.157915002
7.94126666667,-161.66796875,15.6875,2227.33321366,-126.709228272
7.97463333333,-89.09765625,13.5625,2201.10943744,-63.0066548035
8.008,-17.1796875,10.4375,2208.78080253,22.5685772561
8.04136666667,57.8203125,14.60546875,2217.75295017,120.686605062
8.07473333333,133.43359375,19.8125,2162.69407676,185.111112845
8.1081,202.6171875,26.8984375,2082.90082314,246.212121212
8.14146666667,271.6328125,36.2734375,2017.14301324,301.830331127
8.17483333333,339.12109375,47.7734375,1904.04647436,341.900937604
8.2082,397.10546875,58.53515625,1825.05645396,391.067266067
8.24156666667,461.26171875,73.12109375,1732.84723089,453.602387196
8.27493333333,515.38671875,91.48046875,1561.23498897,442.080705753
8.3083,564.34765625,102.8984375,1401.81107955,415.28133325
8.34166666667,612.91796875,119.2578125,1140.47736118,378.817146395
8.37503333333,639.265625,128.63671875,915.46474359,328.720758408
8.4084,669.16796875,140.828125,808.003845113,286.861575924
8.44176666667,695.59765625,148.46875,613.04418238,213.355979958
8.47513333333,715.04296875,155.49609375,306.218846258,128.306751842
8.5085,721.55859375,160.2734375,-2.77147982226,5.20638215951
8.6086,715.09765625,158.40625,-223.371192609,-98.1351005765
8.64196666667,695.6953125,145.6015625,-614.855522082,-229.766164825
8.67533333333,664.140625,139.3515625,-924.246651786,-313.307298171
8.7087,628.765625,122.37890625,-1105.85052968,-334.323879246
8.74206666667,589.22265625,117.2109375,-1208.4627612,-347.211382368
8.77543333333,547.94140625,101.93359375,-1310.64898643,-429.993183899
8.8088,504.2734375,87.0859375,-1480.48566017,-470.06053842
8.84216666667,451.109375,69.3359375,-1697.69683442,-470.727189477
8.87553333333,387.30078125,53.09765625,-1822.17522061,-391.831475816
8.9089,327.66015625,43.4609375,-1884.87619152,-316.038128538
8.94226666667,263.546875,33.0859375,-1985.41367487,-266.96610681
8.97563333333,192.3671875,26.140625,-2019.9266879,-232.365290959
9.009,130.171875,17.15234375,-2091.02746212,-184.46072157
9.04236666667,55.25390625,12.375,-2211.70431131,-94.7717646936
9.07573333333,-21.44140625,10.640625,-2214.76440226,-0.29917998668
9.1091,-95.09765625,13.11328125,-2140.39866384,74.7787368881
9.14246666667,-166.23828125,16.93359375,-2004.80509074,115.333884865
9.17583333333,-225.61328125,19.79296875,-1949.34947865,183.322536838
9.2092,-295.1015625,28.0859375,-1927.629662,279.486138861
9.24256666667,-357.296875,38.4609375,-1825.98651349,369.448260073
9.27593333333,-416.6328125,54.43359375,-1723.00355894,411.304190601
9.3093,-474.23046875,68.3203125,-1555.01724838,381.405703671
9.34266666667,-519.98046875,78.00390625,-1383.82776078,389.317713536
9.37603333333,-568.24609375,95.36328125,-1155.46237617,367.240181693
9.4094,-600.01171875,103.390625,-835.466616717,321.348573302
9.44276666667,-623.2734375,115.8515625,-489.549512987,265.909871379
9.47613333333,-637.1640625,124.48828125,-116.450931881,133.451509428
