"VideoAnalysis: Time (s)","VideoAnalysis: X","VideoAnalysis: Y","VideoAnalysis: X Velocity","VideoAnalysis: Y Velocity"
9.6096,27.5724015349,88.1223902173,77.9845033258,-1087.81855751
9.64296666667,30.8037239194,55.6319319991,48.352585246,-1270.89805188
9.67633333333,33.1665619003,13.7220085275,-11.2635007679,-1574.7625412
9.7097,28.5455116753,-49.6061663924,-37.388889381,-1893.30929461
9.74306666667,30.1332292333,-115.934328634,-47.5244789453,-2138.88849139
9.77643333333,26.8321598517,-188.787378461,-87.8116172419,-2426.18058242
9.8098,21.8755538164,-285.955768635,-64.4808729426,-2463.7037646
9.84316666667,23.0105104741,-361.936683751,-48.4257282301,-2222.12779307
9.87653333333,18.611329625,-433.421594995,-33.3538277284,-1919.73221448
9.9099,20.0516303196,-498.20158174,-6.13062352024,-1368.04363918
9.94326666667,21.6838508023,-529.719186596,-64.6567855434,-696.157358416
9.97663333333,13.9725724177,-537.095378717,-81.1987093028,-221.701582778
10.01,13.9725724177,-537.095378717,-47.3582500933,54.8482166913
10.0433666667,13.9725724177,-537.095378717,-84.5741879044,385.668123002
10.0767333333,8.71411917678,-516.662416203,-123.014932164,845.282423168
10.1101,2.07409518394,-471.488215029,-73.8045517685,1102.53915375
10.1434666667,3.1148471614,-447.17279094,-7.2122377574,1447.94954925
10.1768333333,5.8665067755,-381.974368538,-49.9065530389,1940.3282894
10.2102,0.030189898461,-303.495005138,-107.487016309,2040.33823434
10.2435666667,-2.77068406559,-242.945231774,-127.600202451,2014.31955857
10.2769333333,-8.93737921853,-164.669096953,-117.994754443,1853.1797135
10.3103,-13.1479120973,-119.407240772,-34.7158776553,1687.89438927
10.3436666667,-12.4071373511,-64.7066941557,75.9718270334,1818.64339317
10.3770333333,-5.16175822761,15.858251351,107.376484782,1567.85182911
10.4104,-3.2694766622,47.9316607035,77.0229187519,1084.56519624
10.4437666667,-0.392417929103,86.4175100201,49.9177946653,589.414757383
10.4771333333,-0.462174402847,87.4150740704,39.1820197371,72.8928641165
10.5105,0.613066376276,91.9738402508,80.5130545218,-445.070343065
10.5438666667,4.96392345512,59.6008254113,124.148381107,-1016.91825619
10.5772333333,8.15412478026,18.4026935277,176.841668297,-1440.26709232
10.6106,18.9682955797,-32.3141479778,165.869002437,-1945.3828704
10.6439666667,22.5736818736,-113.776712657,64.9218047704,-2331.55480518
10.6773333333,20.0388419428,-198.147338005,48.9771300829,-2414.85503686
10.7107,24.8541427996,-281.960917765,62.5650500527,-2267.96905348
10.7440666667,23.2130240189,-347.473262453,101.701441239,-2099.55460876
10.7774333333,33.7271197842,-423.18598735,85.5979013623,-1860.45232444
10.8108,32.0934812866,-484.437430899,-11.8199328275,-1276.93941648
10.8441666667,28.716742198,-505.86580375,-4.76445058197,-744.196093384
10.8775333333,31.3471274547,-528.530496152,15.8628150894,-367.6373095
10.9109,31.3471274547,-528.530496152,-1.32745220167,-72.1561147226
10.9442666667,31.3471274547,-528.530496152,-26.7921610891,76.4879214401
10.9776333333,31.3471274547,-528.530496152,-95.798679028,379.523958923
11.011,22.6077899318,-503.1172787,-107.36498679,719.097342876
11.0443666667,22.7520108665,-490.228164872,-77.7484504224,1335.71765638
11.0777333333,20.7131416772,-416.272267599,-120.476062324,1983.81284353
11.1111,11.6383119493,-346.246435062,-88.3416165796,2290.86682237
11.1444666667,14.133969615,-252.523730485,-44.1920444923,2260.69332881
11.1778333333,12.076032596,-193.190721437,-83.545014159,2106.42473343
11.2112,7.73232346822,-116.17721599,-107.863187741,2019.47140628
11.2445666667,4.67149582953,-52.4699157515,-123.886840293,1765.32421293
11.2779333333,-1.12586565031,5.5169338058,-116.497356182,1403.20017809
11.3113,-5.50661247109,38.9333741243,-47.6480263355,1065.21030954
11.3446666667,-2.20726567666,76.3640792388,-36.024089608,700.011642647
11.3780333333,-6.43884951005,92.0798379205,-60.51401645,150.95911971
11.4114,-6.43884951005,92.0798379205,-81.4478593084,-555.891079624
11.4447666667,-14.2715556777,50.3771828866,-39.842860355,-1139.68179539
11.4781333333,-9.43621808979,11.0757739793,12.1804268129,-1564.54443629
11.5115,-11.1605683244,-57.6141796372,73.6337215812,-1622.78507355
11.5448666667,-8.9250358746,-114.503065243,200.864341809,-1366.70978728
11.5782333333,-12.3480479087,-195.579966749,632.085261923,-147.655029907
11.6116,71.6388136096,10.8714094777,106.768318839,-2256.16109437
11.6449666667,-5.53108713593,-349.00943608,-421.738038894,-4255.00230557
11.6783333333,7.86150960943,-420.471951101,-62.7908066399,-2514.95830557
11.7117,5.37725285854,-468.943004642,-21.5053871706,-1687.83238886
11.7450666667,5.30306550626,-523.432475804,89.585468841,-932.377369361
11.7784333333,13.0598195153,-534.234110486,101.803874143,-347.92311688
11.8118,13.0598195153,-534.234110486,106.382455688,-81.4747135117
11.8451666667,17.340948408,-540.074701416,176.150223803,179.504717681
11.8785333333,24.4464505009,-527.787396639,238.633914954,581.806409322
11.9119,37.2035436124,-501.180349629,193.463670043,1023.44122844
11.9452666667,41.9838631758,-464.993116111,26.1545855366,1589.41194267
11.9786333333,34.1713903366,-393.140400814,-19.4180079247,2066.77644057
12.012,37.120340111,-310.827933443,23.7134132179,2085.38131235
12.0453666667,38.0255472063,-254.111004801,22.6020949282,2050.87908567
12.0787333333,42.4272361828,-173.870214718,-73.8563547862,1980.50411795
12.1121,29.6705647211,-120.853585541,-82.873936293,1866.62471422
12.1454666667,34.8739118041,-50.957072755,-38.9282360102,1760.48787672
12.1788333333,27.3892642549,6.91179026657,-0.682616382671,1361.93736836
12.2122,37.4609360982,42.0750104161,-32.6620127749,884.978603461
12.2455666667,26.6955545607,62.8629750485,-111.233584015,457.973100317
12.2789333333,27.2490892184,73.6505218462,-123.496707219,-1.97576079044
12.3123,19.5548099803,64.7992660944,-152.909950616,-504.257259549
12.3456666667,16.6701154269,41.3181849911,-150.856436385,-1030.48602469
12.3790333333,5.68418278152,-10.6176367325,-61.2263854956,-1380.58067664
12.4124,12.0303828803,-52.2059427151,44.8915678182,-1668.52318342
12.4457666667,15.9785669791,-118.635318686,-30.9591806329,-2001.99452815
12.4791333333,6.19027688342,-192.682083234,-25.258419238,-2115.35978886
12.5125,12.2686190955,-265.270839577,18.5904408637,-2045.19837117
12.5458666667,12.2895926809,-335.232769027,-54.0478198127,-1788.03203312
12.5792333333,7.95567114328,-382.787648157,-109.465164865,-1553.41310323
12.6126,3.53606577575,-433.485065603,-126.362547379,-1435.44869606
12.6459666667,-2.16450928667,-486.359172535,-86.6912977646,-1091.75129011
12.6793333333,-3.21815185961,-511.106234776,-18.4561135293,-611.797628036
12.7127,-1.91321532539,-529.767696638,9.86946742935,-68.6478756672
12.7460666667,-1.44937606966,-507.113750723,8.05078807706,259.822600042
12.7794333333,-1.51913254341,-506.116186673,12.1295932463,417.104472959
12.8128,-2.46384228743,-492.606207914,63.4023475284,907.610896649
12.8461666667,1.69642359712,-442.623935633,129.003822678,1329.38029868
12.8795333333,9.65319474025,-402.079510153,109.040161516,1710.58215281
12.9129,11.9979668313,-326.078468653,6.33414689359,1973.27410842
12.9462666667,3.90538435826,-265.115569862,48.6094025649,2043.93508978
12.9796333333,17.6383404249,-182.746021693,42.0773506165,1905.04678439
13.013,9.04927791581,-134.618553313,-11.7074714859,1650.64531767
13.0463666667,11.1344260891,-79.8239989484,68.6295363762,1567.33628944
13.0797333333,16.4920885093,-26.9738708045,73.882552907,1383.96602332
13.1131,18.710068651,15.9533850568,20.5839731525,1087.64693933
13.1464666667,16.1427034338,52.6684181878,5.29012928602,572.067895101
13.1798333333,16.9250033658,55.8165949729,41.3088673538,5.69536899414
13.2132,19.5474803159,48.1605675194,65.6448413189,-441.529874075
13.2465666667,24.3883415342,23.1717524302,9.72643775593,-767.51466538
13.2799333333,18.4344893856,-1.21703967266,-11.2341148141,-1134.22578586
13.3133,23.5172506724,-58.9523432161,-29.9358205724,-1367.69690407
13.3466666667,18.0662769196,-80.5649185709,-77.9791423577,-1876.74147283
13.3800333333,15.7140125969,-181.322099915,-54.4262227985,-2413.23182254
13.4134,12.9254716509,-267.104486531,0.819087384253,-2266.1940037
13.4467666667,17.4759916178,-332.179953872,14.146018885,-2060.61225972
13.4801333333,17.4487351413,-401.452161303,-66.7767477796,-1856.85512678
13.5135,10.4959525843,-460.722166651,-87.1293445884,-1522.11770704
13.5468666667,10.0032834285,-508.44309179,-62.707141738,-1038.38848249
13.5802333333,7.08869913304,-530.880747414,-47.6055234472,-526.167534634
13.6136,6.43664580134,-536.45152123,-20.2753559157,-205.092915844
13.6469666667,5.85372204351,-543.066892397,-13.1865393727,85.5955822933
13.6803333333,6.29141064311,-534.374561703,-21.5994918064,486.737478052
13.7137,8.39160722015,-519.610062568,-118.29290774,1105.39057705
13.7470666667,-8.43799550333,-458.130368614,-45.6528487049,1640.80972069
13.7804333333,2.92634689949,-392.286615087,85.7308778822,1713.16073636
13.8138,5.68998577446,-347.194929806,3.69594721398,1824.48068827
13.8471666667,2.00713767109,-279.576178924,-57.0138877054,2109.37855591
13.8805333333,1.27291830223,-195.046485393,-104.492952591,2096.86558582
13.9139,-8.02867934756,-131.689434955,-54.0497868645,1852.49728356
13.9472666667,-4.30439142391,-75.4723873597,45.750837049,1657.74053708
13.9806333333,-2.28510298976,-19.679996459,74.961843732,1405.87302706
14.014,3.83789131057,22.1693775038,20.8114272233,1055.35074221
14.0473666667,-2.42406311083,51.9692190609,0.855483101897,640.101541808
14.0807333333,1.22269167268,63.936348892,42.6549941849,233.151038144
14.1141,1.63939883291,72.928728148,55.0702967023,-313.056768076
14.1474666667,8.48650615112,39.6886683449,-19.6845502583,-784.061525608
14.1808333333,-1.56492599014,19.1875762526,-50.1427595495,-1209.76938964
14.2142,2.03659004142,-37.30035896,4.62158303628,-1702.92102034
14.2475666667,0.328083420122,-102.464994885,27.3300541084,-1952.9841231
14.2809333333,2.97440012751,-170.156227103,71.7439082748,-2103.53040429
14.3143,6.69007775453,-248.2121749,71.9690322293,-2077.84623057
14.3476666667,8.11006513725,-308.333793579,66.1947762135,-2032.42562922
14.3810333333,9.13548233231,-382.748221397,102.605005634,-1980.96481862
14.4144,15.842609731,-448.761473305,112.00996482,-1671.41884886
14.4477666667,19.2279785974,-497.174503619,53.1018309272,-1242.12823798
14.4811333333,19.0169290222,-538.955063537,1.16627020038,-606.917847779
14.5145,17.6833894558,-534.220146284,-13.6262964046,-67.5981843374
14.5478666667,17.6833894558,-534.220146284,-8.43258324651,223.805368565
14.5812333333,18.9153691969,-521.99113722,-40.6362757924,571.24265285
14.6146,12.4143867889,-498.1247668,-13.5245059819,954.086833747
14.6479666667,17.8185686322,-460.891466684,11.7764844886,1408.1863643
14.6813333333,17.2201210135,-397.622843092,-57.5683165987,1677.41317086
14.7147,12.6987632788,-347.859985995,-90.9658121514,1885.37702668
14.7480666667,7.22751235574,-269.617452538,-25.8751813186,1981.87401097
14.7814333333,11.4031787786,-209.88770536,32.6836824218,1894.39832982
14.8148,12.3259007136,-138.469681315,20.2276453789,1666.6189058
14.8481666667,13.0802222343,-99.4744157483,-16.3179942938,1447.16937724
14.8815333333,9.44988825114,-47.5582210545,-26.2938500493,1357.01695501
14.9149,15.2356921199,-5.81465730562,-125.731111829,1176.28501781
14.9482666667,2.01290974834,38.3001168958,-237.424600759,780.393651604
14.9816333333,-8.64124997535,46.9138403803,-132.089804238,329.62318803
15.015,-6.60508766133,62.5940721397,-8.97529800628,-212.56983843
15.0483666667,-9.05680160239,32.9210798026,105.222028537,-751.06053109
15.0817333333,1.22307325393,13.5323438869,174.565876635,-1279.24060804
15.1151,10.5640382813,-60.9153830024,27.7853952622,-1583.14301043
15.1484666667,0.336297419079,-98.8305686259,-54.4896369511,-1688.01015934
15.1818333333,3.63556684426,-160.907890461,-53.4558431434,-2082.78315299
15.2152,-3.32539369859,-246.324188581,-32.3759594212,-2218.27694985
15.2485666667,1.49189028313,-315.214559068,-1.593166402,-2163.77371616
15.2819333333,-2.81642147629,-397.966671691,10.1189047715,-1856.91882758
15.3153,0.425281560935,-439.341328503,65.0563718159,-1507.02282533
15.3486666667,3.47269178629,-497.872894364,65.7000288428,-1157.21691287
15.3820333333,4.99561730096,-519.651743883,60.6874005245,-725.217027728
15.4154,7.70711971001,-544.092447863,47.6113658523,-351.699586626
15.4487666667,7.70711971001,-544.092447863,48.0869979132,56.218545655
15.4821333333,10.125918273,-538.868025825,65.6087515012,461.990524012
15.5155,13.252853081,-518.851141756,54.0061202821,1017.27529364
15.5488666667,14.6938992724,-479.764782047,12.2847348855,1745.05731532
15.5822333333,12.9329105779,-384.863478854,2.4986134401,1988.40565675
15.6156,15.790069795,-331.757466174,-18.3589571341,1793.41030917
15.6489666667,8.35057121638,-275.150245768,51.1802627313,1798.17842809
15.6823333333,17.9685636272,-213.563681758,143.217313408,1859.24364497
15.7157,22.617134961,-150.62907703,107.779801349,1914.66138918
15.7490666667,27.5125132269,-86.24011944,4.98938456219,1921.78453229
15.7824333333,21.3991434467,-8.78257136445,-65.6575963071,1552.30965589
15.8158,20.2139040869,23.1187104364,-42.1910691097,993.046142139
15.8491666667,18.5697222018,46.6316068398,-7.34810819443,669.215775743
15.8825333333,16.9303794805,75.0591564043,89.991365263,161.180310783
15.9159,29.1484151895,59.5925175365,60.4975888115,-389.878143245
15.9492666667,24.9898718922,45.0325899683,-68.9725502892,-849.211414847
15.9826333333,19.9606310952,2.43738308159,-84.0340324596,-1275.80835292
16.016,16.1754493821,-42.3811460315,-15.3623222552,-1611.25814225
16.0493666667,20.6747419386,-106.724027273,19.4305776332,-1877.26469064
