Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID308193,308193,0,10.498,266.974,125.299,0,15,15,5,1,-10921639,34.536,4,1,255,3350,72.976,2.000,0.903,0.449
ID308194,308194,1,21.166,370.280,184.251,0,15,15,5,1,-10921639,115.608,63,9,255,11214,107.012,8.816,0.872,1.007
ID308195,308195,2,21.202,268.159,268.442,0,15,15,5,1,-10921639,104.515,50,12,255,10138,95.703,5.211,0.847,1.002
ID308196,308196,0,10.557,267.011,125.284,0,16,16,5,1,-10921639,34.732,4,1,255,3369,73.308,2.000,0.904,0.450
ID308197,308197,1,21.071,376.861,188.694,0,16,16,5,1,-10921639,116.124,58,9,255,11264,106.153,8.859,0.878,1.023
ID308198,308198,2,21.281,271.679,268.365,0,16,16,5,1,-10921639,104.742,53,10,255,10160,96.642,5.188,0.848,0.995
ID308204,308204,2,21.779,275.120,268.196,0,17,17,5,1,-10921639,106.021,53,13,255,10284,97.673,5.176,0.850,0.998
ID308202,308202,0,10.558,267.018,125.274,0,17,17,5,1,-10921639,34.680,4,1,255,3364,73.489,2.000,0.903,0.448
ID308203,308203,1,21.050,382.962,193.163,0,17,17,5,1,-10921639,117.763,55,9,255,11423,106.607,8.904,0.879,1.033
ID308200,308200,1,20.849,389.312,198.160,0,18,18,5,1,-10921639,116.041,57,10,255,11256,105.462,8.887,0.873,1.026
ID308201,308201,2,21.707,278.602,267.980,0,18,18,5,1,-10921639,105.598,56,13,255,10243,97.897,5.136,0.848,0.990
ID308199,308199,0,10.516,267.021,125.270,0,18,18,5,1,-10921639,34.629,4,1,255,3359,73.249,2.000,0.898,0.447
ID308205,308205,0,10.542,267.031,125.269,0,19,19,5,1,-10921639,34.680,4,1,255,3364,73.361,2.000,0.903,0.449
ID308206,308206,1,20.534,395.561,203.544,0,19,19,5,1,-10921639,114.000,45,8,255,11058,105.752,8.866,0.856,0.994
ID308207,308207,2,21.359,282.059,267.675,0,19,19,5,1,-10921639,104.320,52,12,255,10119,96.341,5.175,0.847,0.993
ID308212,308212,1,20.694,401.579,209.267,0,20,20,5,1,-10921639,118.443,59,8,255,11489,105.994,8.952,0.870,1.040
ID308213,308213,2,21.372,285.625,267.248,0,20,20,5,1,-10921639,104.515,55,12,255,10138,96.771,5.130,0.847,0.990
ID308211,308211,0,10.557,267.034,125.278,0,20,20,5,1,-10921639,34.722,4,1,255,3368,73.417,2.000,0.906,0.450
ID308208,308208,0,10.539,267.032,125.289,0,21,21,5,1,-10921639,34.629,4,1,255,3359,73.259,2.000,0.905,0.449
ID308209,308209,1,20.537,407.458,215.305,0,21,21,5,1,-10921639,116.041,60,9,255,11256,106.313,8.920,0.855,1.006
ID308210,308210,2,21.745,289.108,266.800,0,21,21,5,1,-10921639,105.536,54,13,255,10237,97.698,5.129,0.853,0.995
ID308216,308216,2,21.730,292.806,266.146,0,22,22,5,1,-10921639,105.340,57,12,255,10218,97.650,5.129,0.852,0.992
ID308214,308214,0,10.528,267.025,125.299,0,22,22,5,1,-10921639,34.567,4,1,255,3353,73.301,2.000,0.906,0.448
ID308215,308215,1,20.680,413.263,221.888,0,22,22,5,1,-10921639,119.701,63,9,255,11611,107.821,8.990,0.871,1.034
